Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Microsoft LifeChat LX-3000 Headset ,Microsoft,0.51875,0.04484256768005499,29,Black
TMA 2,AIAIAI,unknown,0.00042962939094663466,350,Black
TWS,MDNS,0.24,0.015591966646438284,14,White
Planamic,DROP,0.05,8.950612311388221e-05,21,Black
180W,JVC,unknown,0.02124875362723564,16,White
Harman Kardon Fly Over-Ear Headphones,Harman Kardon,0.61875,0.0011635796004804688,139,Black
T10,TOZO,unknown,0.00042962939094663466,82,Black
Bang & Olufsen Beoplay E8 3rd Generation,Bang & Olufsen,0.01325,0.0198345568820363,181,Black
IdeaPad Gaming H100 Headset,Lenovo,unknown,0.010758635998288643,29,Black
Sealed Studio Monitor Headphones HD661,Superlux,0.41875,0.00266728246879369,56,wht
Freebuds Pro,HUAWEI,0.1325,0.0637641621063297,216,Sliver
SoundForm,Belkin,0.22,0.011510487432445253,42,Black
HAS90BNB,JVC,0.55,0.0006086416371743991,149,Black
EM-SP1,emotal,0.036875,0.008431476797327706,20,Black
i12,CDB,0.13,0.008610489043555469,7,White
HD 700,Sennheiser,0.9,0.005692589430042909,365,Black
MDR-EX37B,V-MODA,0.09375,0.0036160473738008417,230,White
H6 Pro Open,EPOS Gaming,0.68125,0.011904314374146335,179,Ghost White
SN503,Philips Audio,0.088125,0.0010024685788754808,69,Black
G335,Logitech G,0.5,0.06866909765297044,69,Mint
Beoplay H9i,Bang & Olufsen,0.61875,0.019566038512694655,499,Black
DT 1990,beyerdynamic,0.18375,0.0012709869482171276,299,Black
HAA50TB,JVC,0.425,0.00533456493758738,31,Black
SG_B079J4Q6F7_US,Sony,0.8,0.003669751047669171,59,Black
JBuds Work,JLab,0.08125,0.008091353529494952,68,Black
Listening First,Califone,0.1,0.0026493812441709137,21,Yellow
Y60,Generic,0.1275,0.0,10,BLACK
FBA_ENSCH7L100BKEW,ENHANCE,unknown,0.004958639220509075,26,Black
Powerbeats Pro,Beats,unknown,0.004332096358711899,278,Navy
WI-1055,Wicked Audio,0.1,0.001575307766804327,10,White
Life P3,Soundcore,0.14,0.37501275462254374,59,Black
ER3SE,Etymotic Research,0.039625,0.004385800032580229,159,Black
Blackwire 3320 USB-A,Plantronics,0.25,0.026637022238691348,44,Black
DGHP-5640,iSound,0.2,0.0005549379633060698,29,Black
BT460WH,Phiaton,0.53125,0.0009308636803843751,329,White
LC-BT1,FiiO,unknown,0.00042962939094663466,39,MMCX
Bass,Maxell,0.5,0.0012172832743487982,15,Black
E2000,Final,0.044,0.0031327143089858777,44,Black
Sony WF-1000XM3,Sony,0.044,0.002094443280864844,149,Silver
HP-0062-FROZEN2,Artist Unknown,0.2875,0.009219130680729869,14,LIGHT BLUE
R175,UrbanX,0.3125,0.0008771600065160457,49,Blue
FBA_715594-0010,Bose,0.06875,0.001449999194444892,79,Black
MDR-XB41EX,Sony,0.1,0.0008950612311388222,149,Black
T1,Beyerdynamic,0.79375,0.0009845673542527044,899,Black
NUBWO - N12,OCTTO,0.98125,0.040134545604264785,28,Black
ATH-ANC20,Audio-Technica,0.01875,0.0006086416371743991,49,Black
MDRNC200D,Sony,0.11875,0.0033296277798364185,120,Black
BT,Harman Kardon,0.19125,0.006032712697875662,119,Black
EAH-F70N,Technics,0.155625,0.0011098759266121396,189,Silver
ZA800000WW,Lenovo,0.3,0.0004117281663238582,49,Black
